,Year,TXx
0,2001,34.37711715698242
1,2002,35.62361145019531
2,2003,35.30330276489258
3,2004,35.09587478637695
4,2005,34.82181167602539
5,2006,33.96070098876953
6,2007,34.28158950805664
7,2008,33.205223083496094
8,2009,34.03313446044922
9,2010,36.199302673339844
10,2011,33.38887405395508
11,2012,34.35959243774414
12,2013,34.492088317871094
13,2014,34.71046447753906
14,2015,35.16126251220703
15,2016,35.952125549316406
16,2017,35.36009216308594
17,2018,34.24202346801758
18,2019,35.614662170410156
19,2020,35.33583068847656
