,Year,TXx
0,2001,35.99945068359375
1,2002,36.42333984375
2,2003,36.274261474609375
3,2004,36.6307487487793
4,2005,36.69755935668945
5,2006,35.878944396972656
6,2007,36.575809478759766
7,2008,36.07341384887695
8,2009,35.53339385986328
9,2010,37.0120964050293
10,2011,36.10747146606445
11,2012,36.77609634399414
12,2013,36.83213424682617
13,2014,36.944923400878906
14,2015,36.269832611083984
15,2016,36.9191780090332
16,2017,36.604881286621094
17,2018,36.2205810546875
18,2019,36.73025894165039
19,2020,37.249107360839844
