,Year,rx1day
0,2001,144.90444946289062
1,2002,229.768798828125
2,2003,131.63467407226562
3,2004,115.6546630859375
4,2005,94.9413070678711
5,2006,97.6252212524414
6,2007,165.1158905029297
7,2008,126.40796661376953
8,2009,298.7516174316406
9,2010,113.31739807128906
10,2011,228.5676727294922
11,2012,375.2726745605469
12,2013,265.1581726074219
13,2014,138.54795837402344
14,2015,136.26283264160156
15,2016,130.21524047851562
16,2017,152.05824279785156
17,2018,178.6844482421875
18,2019,122.59765625
19,2020,124.87127685546875
