,Year,TXx
0,2001,35.91893005371094
1,2002,36.391292572021484
2,2003,36.48258972167969
3,2004,36.49961853027344
4,2005,36.85218811035156
5,2006,35.88529968261719
6,2007,36.44469451904297
7,2008,35.89356231689453
8,2009,36.21954345703125
9,2010,37.18901824951172
10,2011,36.046287536621094
11,2012,36.19565200805664
12,2013,36.685691833496094
13,2014,36.90875244140625
14,2015,36.008331298828125
15,2016,37.09313201904297
16,2017,36.398109436035156
17,2018,36.327980041503906
18,2019,36.5421257019043
19,2020,36.96217346191406
