,Year,rx1day
0,2001,122.65367889404297
1,2002,224.34861755371094
2,2003,136.69619750976562
3,2004,122.88435363769531
4,2005,100.69463348388672
5,2006,115.50154876708984
6,2007,160.24732971191406
7,2008,116.98164367675781
8,2009,316.2661437988281
9,2010,104.68277740478516
10,2011,226.6269073486328
11,2012,361.2688903808594
12,2013,257.0045166015625
13,2014,168.47129821777344
14,2015,132.6434326171875
15,2016,117.57942199707031
16,2017,153.76400756835938
17,2018,198.8920135498047
18,2019,123.42047882080078
19,2020,132.51943969726562
