Year,Cebu,Metro Manila
1951,,1629.29
1952,,2057.29
1953,,2262.91
1954,,1623.43
1955,,1040.22
1956,,1942.03
1957,,1175.58
1958,,2339.14
1959,,1332.635
1960,,2521.83
1961,,2434.425
1962,,2169.47
1963,,1958.18
1964,,2309.815
1965,,1834.795
1966,,2301.055
1967,,2309.045
1968,,1728.585
1969,,1560.295
1970,,2456.475
1971,,1976.74
1972,670.0,3553.99
1973,1420.59,1804.43
1974,1305.7,2492.2400000000002
1975,1845.74,1900.625
1976,1524.06,2099.245
1977,1422.82,2061.18
1978,1059.88,2712.1
1979,1544.59,1700.26
1980,1700.52,1829.275
1981,1246.32,1973.79
1982,1109.58,1524.325
1983,1607.98,1387.705
1984,1728.75,2044.935
1985,1729.65,2270.31
1986,1454.93,3214.62
1987,883.6,1566.67
1988,1545.67,2305.055
1989,1452.26,1981.6399999999999
1990,1840.3,2678.895
1991,1463.36,2041.5349999999999
1992,1150.64,2157.88
1993,1662.37,2479.36
1994,1861.16,2468.59
1995,1665.91,2915.225
1996,1716.53,1576.4850000000001
1997,1357.92,1840.06
1998,1109.27,2163.65
1999,2061.12,2744.46
2000,1987.92,3851.335
2001,2125.98,2241.545
2002,1136.76,2993.11
2003,2002.3500000000001,2189.775
2004,1402.25,2064.34
2005,1399.14,2273.48
2006,1561.23,2540.025
2007,1757.79,2167.07
2008,2000.19,2282.46
2009,1218.47,3354.46
2010,1707.18,2382.345
2011,2365.96,3045.48
2012,1937.96,3955.6349999999998
2013,1656.48,3078.375
2014,1952.6,2155.9
2015,1293.5,2007.05
2016,1945.6,1887.65
2017,2098.7,2177.5
2018,1584.7,2735.75
2019,1289.6,1971.65
2020,1867.9,2155.55
