Year,Cebu,Metro Manila
1951,,84.3
1952,,228.6
1953,,140.0
1954,,117.9
1955,,84.1
1956,,146.6
1957,,119.1
1958,,353.8
1959,,111.5
1960,,229.1
1961,,172.85000000000002
1962,,159.35000000000002
1963,,94.25
1964,,235.64999999999998
1965,,112.55000000000001
1966,,131.95
1967,,182.75
1968,,110.55
1969,,69.1
1970,,235.75
1971,,100.55
1972,71.0,314.35
1973,112.8,119.2
1974,63.3,179.2
1975,79.8,213.8
1976,86.7,256.0
1977,63.0,158.7
1978,117.4,224.45
1979,69.4,151.7
1980,81.9,98.80000000000001
1981,83.8,115.4
1982,141.3,95.5
1983,97.3,118.30000000000001
1984,87.8,81.75
1985,90.0,216.5
1986,74.6,249.75
1987,81.4,89.3
1988,90.9,138.3
1989,127.0,91.3
1990,276.1,210.14999999999998
1991,66.0,144.35
1992,78.8,144.9
1993,105.0,145.4
1994,174.0,131.2
1995,166.1,130.1
1996,85.2,66.95
1997,99.4,151.4
1998,47.0,137.2
1999,126.6,204.8
2000,147.2,267.0
2001,158.4,110.4
2002,78.0,246.4
2003,109.2,137.4
2004,78.2,135.6
2005,52.4,104.6
2006,100.3,159.6
2007,83.0,147.0
2008,70.6,125.6
2009,52.0,455.0
2010,82.8,122.0
2011,185.4,192.95
2012,135.0,391.4
2013,71.4,215.75
2014,118.9,179.0
2015,76.4,130.5
2016,151.9,106.9
2017,106.0,135.75
2018,85.0,166.8
2019,106.0,139.05
2020,114.2,145.25
