Year,Cebu,Metro Manila
1951,,27.39232876712329
1952,,27.381967213114752
1953,,27.366027397260275
1954,,27.243287671232874
1955,,27.138356164383563
1956,,26.9655737704918
1957,,27.581176470588236
1958,,27.36657534246575
1959,,27.544109589041096
1960,,27.250273224043717
1961,,26.917123287671235
1962,,26.847123287671234
1963,,26.51027397260274
1964,,26.839754098360658
1965,,26.72
1966,,27.244520547945207
1967,,26.66287671232877
1968,,26.97185792349727
1969,,27.483013698630135
1970,,27.764794520547945
1971,,27.14109589041096
1972,27.79150326797386,27.296721311475412
1973,28.024931506849317,27.801369863013697
1974,27.78739726027397,27.22287671232877
1975,27.869041095890413,27.44164383561644
1976,27.844535519125685,27.086338797814207
1977,28.091506849315067,27.581369863013702
1978,28.30109589041096,27.35
1979,28.371506849315068,27.412054794520547
1980,28.136612021857925,27.357786885245904
1981,28.40054794520548,26.783561643835615
1982,28.297260273972604,27.155068493150686
1983,28.423835616438357,27.419999999999998
1984,27.93415300546448,27.274863387978144
1985,28.005479452054793,27.37123287671233
1986,27.906575342465754,27.237671232876714
1987,28.301369863013697,27.94671232876712
1988,28.15573770491803,27.965300546448084
1989,27.898599439775907,27.5913698630137
1990,27.86191780821918,27.75191780821918
1991,27.675342465753424,27.536301369863015
1992,28.10191256830601,27.67226775956284
1993,28.130684931506853,27.58712328767123
1994,28.007397260273976,27.529041095890413
1995,27.913698630136988,27.439589041095893
1996,27.89863387978142,27.6775956284153
1997,27.921369863013698,27.775890410958905
1998,28.49095890410959,28.681917808219175
1999,27.88602739726027,27.671917808219177
2000,28.147814207650274,27.80928961748634
2001,28.03068493150685,28.044794520547946
2002,28.06054794520548,27.87123287671233
2003,27.95972602739726,28.015068493150686
2004,28.046448087431695,27.996994535519125
2005,28.013424657534244,28.10232876712329
2006,27.957534246575342,28.096301369863014
2007,27.912328767123288,28.302739726027397
2008,27.926775956284153,27.98620218579235
2009,28.252328767123288,27.917534246575343
2010,28.69232876712329,28.732328767123285
2011,27.843013698630138,27.84794520547945
2012,28.143715846994535,28.123497267759564
2013,28.430410958904112,28.27931506849315
2014,28.027397260273972,28.10260273972603
2015,28.273863013698627,28.357205479452052
2016,28.695628415300547,28.868715846994537
2017,28.224383561643833,28.54164383561644
2018,28.51123287671233,28.37178082191781
2019,28.63931506849315,28.721164383561646
2020,28.694808743169396,28.7297131147541
